SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT
AARTIPHARM,2026-08-11,PERSISTENT_EP,True,1,2026-08-10,823.0,685.85,2,883.7,823.0,14873286.0,270008.18,55.08457558582114,7.38,1,0
EMIL,2026-08-11,SUSTAINED_EP,True,1,2026-08-10,180.77,165.83,2,184.75,180.77,44142568.0,5107777.72,8.642225723166357,2.2,0,1
ENTERO,2026-08-11,PERSISTENT_EP,True,1,2026-08-10,1315.1,1242.7,2,1427.2,1315.1,613774.0,124730.18,4.920813871991526,8.52,1,0
KPL,2026-08-11,PERSISTENT_EP,True,1,2026-08-10,3134.1,2611.8,2,3310.5,3134.1,568350.0,38706.46,14.683595451508612,5.63,1,0
SKYGOLD,2026-08-11,SUSTAINED_EP,True,1,2026-08-10,779.6,719.4,2,790.05,779.6,1562876.0,1412751.48,1.1062639269010004,1.34,0,1
ARE&M,2026-08-11,NEW_EP,True,1,2026-08-11,970.25,897.7,1,970.25,897.7,8417269.0,734849.92,11.45,8.08,0,0
CHENNPETRO,2026-08-11,NEW_EP,True,1,2026-08-11,1426.1,1240.1,1,1426.1,1240.1,17236108.0,1576696.24,10.93,15.0,0,0
DEVYANI,2026-08-11,NEW_EP,True,1,2026-08-11,142.79,133.56,1,142.79,133.56,24729302.0,4270123.74,5.79,6.91,0,0
ESTER,2026-08-11,NEW_EP,True,1,2026-08-11,104.5,99.22,1,104.5,99.22,1789401.0,215931.94,8.29,5.32,0,0
FINCABLES,2026-08-11,NEW_EP,True,1,2026-08-11,1207.85,1058.05,1,1207.85,1058.05,8840419.0,409957.56,21.56,14.16,0,0
GLAND,2026-08-11,NEW_EP,True,1,2026-08-11,2924.4,2667.3,1,2924.4,2667.3,8760097.0,625380.48,14.01,9.64,0,0
GODAVARIB,2026-08-11,NEW_EP,True,1,2026-08-11,273.6,240.1,1,273.6,240.1,9219974.0,129577.52,71.15,13.95,0,0
INDSWFTLAB,2026-08-11,NEW_EP,True,1,2026-08-11,284.68,237.24,1,284.68,237.24,9123251.0,1169510.4,7.8,20.0,0,0
KOLTEPATIL,2026-08-11,NEW_EP,True,1,2026-08-11,516.6,462.2,1,516.6,462.2,12115889.0,102746.32,117.92,11.77,0,0
KSHINTL,2026-08-11,NEW_EP,True,1,2026-08-11,988.95,900.6,1,988.95,900.6,3497625.0,356362.72,9.81,9.81,0,0
LUMAXTECH,2026-08-11,NEW_EP,True,1,2026-08-11,2076.3,1738.2,1,2076.3,1738.2,5661267.0,159934.0,35.4,19.45,0,0
OMNI,2026-08-11,NEW_EP,True,1,2026-08-11,598.25,552.85,1,598.25,552.85,9692722.0,1061697.42,9.13,8.21,0,0
POLYMED,2026-08-11,NEW_EP,True,1,2026-08-11,1863.9,1772.4,1,1863.9,1772.4,1023997.0,151658.14,6.75,5.16,0,0
ROLEXRINGS,2026-08-11,NEW_EP,True,1,2026-08-11,177.29,155.26,1,177.29,155.26,56026330.0,2213924.88,25.31,14.19,0,0
SAPPHIRE,2026-08-11,NEW_EP,True,1,2026-08-11,236.02,220.62,1,236.02,220.62,12485494.0,1989238.14,6.28,6.98,0,0
SUNDRMFAST,2026-08-11,NEW_EP,True,1,2026-08-11,1210.05,1121.3,1,1210.05,1121.3,1057516.0,144980.48,7.29,7.91,0,0
WINDLAS,2026-08-11,NEW_EP,True,1,2026-08-11,943.1,839.65,1,943.1,839.65,2342310.0,44668.06,52.44,12.32,0,0
YATRA,2026-08-11,NEW_EP,True,1,2026-08-11,114.31,104.53,1,114.31,104.53,8590571.0,1235909.9,6.95,9.36,0,0
ZYDUSLIFE,2026-08-11,NEW_EP,True,1,2026-08-11,1191.0,1119.0,1,1191.0,1119.0,8187351.0,1225263.22,6.68,6.43,0,0
