SYMBOL,AS_OF_DATE,LABEL,LABEL_CHANGED,GENERATION,ANCHOR_DATE,ANCHOR_CLOSE,ANCHOR_PREV_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PREV_CLOSE,VOLUME,AVG_VOLUME_50,VOLUME_MULTIPLE,PCT_MOVE_VS_PREV,PERSISTENT_COUNT,SUSTAINED_COUNT,RESULT_DATE,DAYS_TO_OR_SINCE_RESULTS,CATALYST_CONTEXT
ATULAUTO,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-03,563.35,515.45,17,485.95,485.4,84857.0,257807.84,0.32914825243483675,0.11,1,0,,,
BLUEDART,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-03,5427.0,5160.3,17,4994.5,5053.5,7372.0,25845.26,0.28523605488975545,-1.17,0,0,,,
LUMAXIND,2026-08-25,SUSTAINED_EP,False,1,2026-08-03,5772.5,5284.5,17,5909.0,5808.5,9541.0,16947.94,0.5629592741064696,1.73,0,4,,,NO_CATALYST
EPACKPEB,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-04,260.35,243.95,16,236.1,229.45,453135.0,1532190.58,0.29574323580556144,2.9,0,0,,,
KEI,2026-08-25,SUSTAINED_EP,False,1,2026-08-04,5500.0,5023.3,16,5588.0,5494.0,435936.0,420097.68,1.0377015174185205,1.71,0,5,,,NO_CATALYST
FIEMIND,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-05,2498.0,2324.5,15,2165.6,2164.1,50034.0,81373.34,0.6148696858209335,0.07,1,2,,,
OMNI,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-05,732.6,610.5,15,577.0,594.05,650309.0,1274055.4,0.5104244289534035,-2.87,0,0,,,
PTC,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-05,198.36,183.44,15,158.05,156.84,986291.0,1813017.72,0.5440051628397763,0.77,0,1,,,
UNIPARTS,2026-08-25,SUSTAINED_EP,False,1,2026-08-05,801.65,732.95,15,825.6,808.2,232651.0,184031.88,1.2641885742839774,2.15,0,4,,,NO_CATALYST
BAJAJELEC,2026-08-25,FIZZLE_OUT_EP,True,1,2026-08-06,382.5,348.1,14,334.35,344.65,384533.0,461933.7,0.83244197165091,-2.99,0,0,,,
BIRLANU,2026-08-25,SUSTAINED_EP,False,1,2026-08-06,1538.7,1396.6,14,1529.2,1502.9,9311.0,25113.14,0.37076207913466813,1.75,1,2,,,NO_CATALYST
GMMPFAUDLR,2026-08-25,SUSTAINED_EP,False,1,2026-08-06,979.85,857.1,14,1004.9,989.3,99442.0,243293.06,0.40873340160216654,1.58,0,4,,,NO_CATALYST
IGARASHI,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-06,493.8,461.05,14,427.55,431.35,45964.0,574357.4,0.08002682650210478,-0.88,0,0,,,
KOLTEPATIL,2026-08-25,SUSTAINED_EP,False,1,2026-08-06,429.3,392.6,14,459.45,452.1,181065.0,386414.68,0.46857691845454735,1.63,1,4,,,NO_CATALYST
MAZDOCK,2026-08-25,SUSTAINED_EP,False,1,2026-08-06,2530.0,2380.5,14,2610.0,2540.0,1640159.0,836400.62,1.9609729605413253,2.76,0,2,,,NO_CATALYST
GOCLCORP,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-07,438.25,410.55,13,395.7,398.4,29011.0,142670.38,0.20334283822612653,-0.68,0,0,,,
SBCL,2026-08-25,SUSTAINED_EP,False,1,2026-08-07,920.9,767.45,13,1018.35,1001.5,229576.0,743614.14,0.308730008818821,1.68,1,2,,,NO_CATALYST
TRAVELFOOD,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-07,1428.6,1337.2,13,1296.3,1306.8,25496.0,65470.34,0.38942825102176043,-0.8,0,0,,,
ENTERO,2026-08-25,PERSISTENT_EP,False,1,2026-08-10,1315.1,1242.7,12,1633.0,1529.8,2229594.0,157310.2,14.173232250674145,6.75,3,3,,,NO_CATALYST
PAYTM,2026-08-25,PERSISTENT_EP,True,1,2026-08-10,1584.1,1441.6,12,1718.0,1623.5,10111331.0,3889496.96,2.599650058602951,5.82,1,5,,,NO_CATALYST
THOMASCOTT,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-10,349.05,315.15,12,279.1,283.6,18487.0,87101.04,0.21224775272488136,-1.59,0,0,,,
ESTER,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-11,104.5,99.22,11,95.86,94.13,64817.0,224112.92,0.28921581138651,1.84,0,0,,,
POLYMED,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-11,1863.9,1772.4,11,1731.7,1737.2,78354.0,146382.62,0.5352684628817274,-0.32,0,0,,,
ALICON,2026-08-25,FIZZLE_OUT_EP,True,1,2026-08-12,772.95,728.55,10,697.8,726.5,57256.0,34941.1,1.638643316896148,-3.95,0,0,,,
GIPCL,2026-08-25,PERSISTENT_EP,True,1,2026-08-12,174.05,164.64,10,190.72,178.39,3504842.0,507163.32,6.910677215379062,6.91,1,3,,,NO_CATALYST
JINDALPOLY,2026-08-25,SUSTAINED_EP,True,1,2026-08-12,666.55,629.5,10,646.6,636.85,12983.0,42396.82,0.3062257971234635,1.53,0,1,,,NO_CATALYST
PITTIENG,2026-08-25,SUSTAINED_EP,True,1,2026-08-12,1044.1,960.35,10,1123.3,1098.25,506448.0,76756.62,6.598101896618168,2.28,1,3,,,NO_CATALYST
TDPOWERSYS,2026-08-25,FIZZLE_OUT_EP,False,1,2026-08-12,1480.1,1275.6,10,729.4,780.1,1939751.0,1396340.12,1.389167991534899,-6.5,0,2,,,
PRECWIRE,2026-08-25,FIZZLE_OUT_EP,True,1,2026-08-13,468.65,422.3,9,411.75,429.05,744525.0,511164.16,1.4565281728672057,-4.03,0,0,,,
HAPPSTMNDS,2026-08-25,SUSTAINED_EP,True,1,2026-08-14,420.2,394.8,8,445.95,436.25,1616573.0,1699778.62,0.9510491430937047,2.22,1,2,,,NO_CATALYST
LGEINDIA,2026-08-25,SUSTAINED_EP,True,1,2026-08-14,1729.7,1578.3,8,1690.4,1664.2,614640.0,795289.68,0.772850466260294,1.57,0,1,,,NO_CATALYST
MAXESTATES,2026-08-25,SUSTAINED_EP,True,1,2026-08-17,474.35,441.95,7,556.05,549.15,350806.0,184776.12,1.8985461974198832,1.26,1,3,,,NO_CATALYST
MOTILALOFS,2026-08-25,SUSTAINED_EP,False,1,2026-08-17,955.0,903.7,7,1011.5,990.0,1836119.0,1234055.18,1.4878743104502021,2.17,0,3,,,NO_CATALYST
NITINSPIN,2026-08-25,PERSISTENT_EP,True,1,2026-08-18,606.9,553.75,6,623.65,580.15,714002.0,179685.42,3.973622345096224,7.5,1,0,,,NO_CATALYST
GLAXO,2026-08-25,SUSTAINED_EP,True,1,2026-08-19,3032.4,2877.4,5,2963.4,2931.7,174436.0,132401.12,1.3174813022729717,1.08,0,1,,,NO_CATALYST
DCBBANK,2026-08-25,SUSTAINED_EP,True,1,2026-08-21,203.59,188.61,3,207.37,199.74,7870975.0,1437689.62,5.474738699163732,3.82,0,1,,,NO_CATALYST
PARAGMILK,2026-08-25,SUSTAINED_EP,True,1,2026-08-21,225.5,207.94,3,250.0,240.62,2835822.0,572697.24,4.951694895543761,3.9,1,1,,,NO_CATALYST
SHANTIGEAR,2026-08-25,SUSTAINED_EP,True,1,2026-08-21,464.25,386.9,3,557.9,549.0,1482458.0,304121.78,4.874553871149906,1.62,1,1,,,NO_CATALYST
WELENT,2026-08-25,SUSTAINED_EP,False,1,2026-08-21,631.45,584.65,3,661.0,647.9,963358.0,452400.26,2.129437326141236,2.02,0,2,,,NO_CATALYST
CLSEL,2026-08-25,SUSTAINED_EP,True,1,2026-08-24,312.75,288.35,2,319.05,312.75,600906.0,475461.62,1.263837026424972,2.01,0,1,,,NO_CATALYST
OPTIEMUS,2026-08-25,SUSTAINED_EP,True,1,2026-08-24,585.7,540.2,2,595.8,585.7,626467.0,324517.26,1.9304581827173075,1.72,0,1,,,NO_CATALYST
SHREEPUSHK,2026-08-25,PERSISTENT_EP,True,1,2026-08-24,426.9,401.15,2,454.1,426.9,258194.0,55295.06,4.66938637918107,6.37,1,0,,,NO_CATALYST
