TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-24,2026-09-24,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15298.00,15298.00,14900.00,14925.83,14900.00,15059.00,,14923.81,,,210,3147752.45,58,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15002.00,15003.00,14941.00,14949.98,14950.00,15120.00,,14949.98,,,90,1346803.94,15,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15050.00,15050.00,14921.00,14936.00,14921.00,15099.99,,14936.00,,,508,7619378.12,72,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15090.00,15090.00,14965.00,14965.00,14965.00,15097.50,,14980.00,,,54,813329.96,15,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15045.00,15045.00,14920.00,14922.32,14947.90,15125.00,,14922.32,,,61,911300.98,22,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15074.00,15094.54,14926.00,14942.72,14930.00,15094.54,,14923.73,,,331,4962763.96,121,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15105.00,15105.00,14951.00,14961.48,14959.00,15106.63,,14961.48,,,58,870445.98,23,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15099.98,15100.00,15099.98,15100.00,15100.00,15100.00,,15100.00,,,6,90599.95,4,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15050.00,15050.00,15050.00,15050.00,15050.00,15050.00,,15045.00,,,5,75250.00,3,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15070.00,15070.00,14861.00,14928.00,14928.00,15070.00,,14928.00,,,33,492859.03,16,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15000.00,15000.00,15000.00,15000.00,15000.00,15049.90,,15000.00,,,1,15000.00,1,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15000.00,15000.00,14901.00,14950.50,14901.00,15105.00,,14950.50,,,2,29901.00,2,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,14842.00,14930.00,14842.00,14899.90,14899.90,15145.35,,14899.90,,,17,252903.37,8,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,14963.85,14963.85,14963.85,14963.85,14963.85,15115.00,,14963.85,,,1,14963.85,1,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14901.00,15150.00,14901.00,14990.00,14990.00,15090.00,,14990.00,,,25,375254.51,13,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15030.00,15130.00,14995.01,15010.90,15010.00,15150.04,,15010.90,,,808,12140132.33,41,F1,1,,,,,
2026-09-24,2026-09-24,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,14925.61,15085.00,14910.00,14920.00,14920.00,15091.14,,14920.00,,,8,119685.63,5,F1,1,,,,,
