SYMBOL,TRIGGER_REASON_FOR_RESEARCH,LABEL,ANCHOR_DATE,ANCHOR_CLOSE,SESSIONS_SINCE_ANCHOR,CLOSE,PCT_MOVE_VS_PREV,VOLUME_MULTIPLE
ATHERENERG,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-04,1450.4,19,1616.3,8.09,3.23887700510981
MANINFRA,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-04,111.61,19,122.81,6.37,4.129759181899918
JGCHEM,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-05,548.25,18,651.3,11.24,10.902315001517826
UNIPARTS,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-05,801.65,18,873.15,8.02,2.5304228450665187
INGERRAND,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-13,4606.4,12,4860.2,5.44,5.312296193542377
PRECWIRE,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-13,468.65,12,507.35,20.0,16.54024869872361
ELGIEQUIP,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-14,609.5,11,628.85,4.94,2.2546845353992904
GKSL,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-17,151.36,10,160.64,4.12,2.7518873073867636
PTCIL,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-17,20584.0,10,22110.0,7.22,3.9892485178529804
KLBRENG-B,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-21,397.4,6,421.0,7.7,3.043991114050947
FMGOETZE,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-25,534.1,4,602.05,10.36,21.166128408598873
CGCL,Fresh Persistent pivot — check if fundamentals still support continued conviction,PERSISTENT_EP,2026-08-26,256.35,3,257.98,5.38,5.507899214130067
